real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
7414,13.0,0.04003239423036575,16.923534393310547,-0.6705865859985352,1.0965304682031274e-05,2.046007405927715e-05,0.012390853837132454,1.770079493522644,-0.6758955121040344
7456,42.0,-0.023244144394993782,111.09379577636719,-0.6783819794654846,1.0413947620691033e-05,1.742059491031493e-05,0.015717897564172745,1.8943978548049927,-0.6837310194969177
7480,24.0,-0.013599157333374023,54.743717193603516,-0.6902613043785095,1.1852256344961157e-05,1.8952387714913737e-05,-0.017462609335780144,1.794305682182312,-0.6863471865653992
7526,46.0,-0.02245822548866272,121.22669219970703,-0.6894916892051697,1.2063206668244675e-05,1.9470924902028248e-05,-0.004836136940866709,1.8307334184646606,-0.6821799874305725
7550,24.0,-0.015583104453980923,54.96113204956055,-0.6902375221252441,1.094283379643457e-05,2.2984645814479638e-05,0.021662771701812744,1.795814871788025,-0.675845742225647
7569,19.0,0.02074151299893856,36.756046295166016,-0.6732659935951233,1.1262100997555535e-05,1.7818863549715996e-05,0.042452700436115265,1.834017276763916,-0.6793083548545837
7602,33.0,-0.012550846673548222,82.3338623046875,-0.6878652572631836,9.405834134668112e-06,2.0936691119762447e-05,0.018380461260676384,2.135720729827881,-0.6904036998748779
7614,12.0,-0.002046952722594142,13.4762601852417,-0.6895089745521545,8.923507569609987e-06,1.8467433013332386e-05,0.020162956789135933,2.0094714164733887,-0.6910800337791443
7644,30.0,0.0010294744279235601,74.37674713134766,-0.6920190453529358,8.527077019001203e-06,1.597696397463248e-05,-0.0067412820644676685,1.9725679159164429,-0.6899012923240662
7653,9.0,0.06940287351608276,7.035388469696045,-0.687477707862854,9.107060880827097e-06,2.0495199957319226e-05,0.011133597232401371,1.9924877882003784,-0.6913505792617798
7704,51.0,0.03360075131058693,131.9063720703125,-0.6871874928474426,9.79518305636399e-06,1.592835360497702e-05,-0.0019281478598713875,2.1010994911193848,-0.6894391775131226
7726,22.0,-0.01428224891424179,48.42721176147461,-0.6920236349105835,1.1097832915159719e-05,1.8913339469387818e-05,0.013090010732412338,1.9679608345031738,-0.6870269775390625
